venue,latitude,longitude,roof_control_factor
Chase Field,33.4453,-112.0667,0.5
Sutter Health Park,38.5804,-121.5139,0.0
Truist Park,33.8907,-84.4677,0.0
Oriole Park at Camden Yards,39.2840,-76.6217,0.0
Oriole Park,39.2840,-76.6217,0.0
Fenway Park,42.3467,-71.0972,0.0
Wrigley Field,41.9484,-87.6553,0.0
Rate Field,41.8300,-87.6338,0.0
Guaranteed Rate Field,41.8300,-87.6338,0.0
Great American Ball Park,39.0979,-84.5082,0.0
Progressive Field,41.4962,-81.6852,0.0
Coors Field,39.7559,-104.9942,0.0
Comerica Park,42.3390,-83.0485,0.0
Daikin Park,29.7573,-95.3555,0.5
Minute Maid Park,29.7573,-95.3555,0.5
Kauffman Stadium,39.0517,-94.4803,0.0
Angel Stadium,33.8003,-117.8827,0.0
Dodger Stadium,34.0739,-118.2400,0.0
loanDepot park,25.7781,-80.2197,0.5
American Family Field,43.0280,-87.9712,0.5
Target Field,44.9817,-93.2776,0.0
Citi Field,40.7571,-73.8458,0.0
Yankee Stadium,40.8296,-73.9262,0.0
Citizens Bank Park,39.9061,-75.1665,0.0
PNC Park,40.4469,-80.0057,0.0
Petco Park,32.7073,-117.1566,0.0
Oracle Park,37.7786,-122.3893,0.0
T-Mobile Park,47.5914,-122.3325,0.5
Busch Stadium,38.6226,-90.1928,0.0
Tropicana Field,27.7682,-82.6534,1.0
George M. Steinbrenner Field,27.9803,-82.5067,0.0
Globe Life Field,32.7473,-97.0847,0.5
Rogers Centre,43.6414,-79.3894,0.5
Nationals Park,38.8730,-77.0074,0.0
